Period,PR open,Issue open,Stars snapshot,Forks snapshot,Visitors (uniques),Cloners (uniques),PR opened,PR merged,PR closed,Issues opened,Issues closed,Stars per period,Forks per period
2019.01.01 ,23,68,2226,716,-1,-1,17,4,7,29,19,69,27
2019.02.01 ,33,77,2294,743,-1,-1,8,5,11,24,25,71,25
2019.03.01 ,30,75,2364,766,-1,-1,9,5,18,23,20,74,30
2019.04.01 ,21,78,2433,794,-1,-1,9,5,18,29,32,97,31
2019.05.01 ,17,79,2529,823,-1,-1,7,4,5,28,21,56,28
2019.06.01 ,18,84,2582,850,-1,-1,13,9,13,28,32,71,27
2019.07.01 ,17,79,2652,877,-1,-1,17,10,18,29,33,70,27
2019.08.01 ,16,75,2719,901,-1,-1,10,10,16,25,41,63,18
2019.09.01 ,9,58,2779,919,-1,-1,11,8,12,24,27,102,25
2019.10.01 ,9,55,2879,943,-1,-1,1,0,0,5,1,8,3
2019.11.01 ,10,60,2883,945,-1,-1,0,0,0,0,0,0,0
2019.12.01 ,10,60,2883,945,-1,-1,0,0,0,0,0,0,0
